loc,year,date_ref,sex,age,pop
Ecuador,2010,28/11/2010,f,1,145674
Ecuador,2010,28/11/2010,f,2,147721
Ecuador,2010,28/11/2010,f,3,148202
Ecuador,2010,28/11/2010,f,4,148601
Ecuador,2010,28/11/2010,f,5,141621
Ecuador,2010,28/11/2010,f,6,146349
Ecuador,2010,28/11/2010,f,7,151168
Ecuador,2010,28/11/2010,f,8,157491
Ecuador,2010,28/11/2010,f,9,156287
Ecuador,2010,28/11/2010,f,10,165576
Ecuador,2010,28/11/2010,f,11,155885
Ecuador,2010,28/11/2010,f,12,139537
Ecuador,2010,28/11/2010,f,13,147757
Ecuador,2010,28/11/2010,f,14,147610
Ecuador,2010,28/11/2010,f,15,144260
Ecuador,2010,28/11/2010,f,16,141372
Ecuador,2010,28/11/2010,f,17,144265
Ecuador,2010,28/11/2010,f,18,141369
Ecuador,2010,28/11/2010,f,19,134723
Ecuador,2010,28/11/2010,f,20,135024
Ecuador,2010,28/11/2010,f,21,127956
Ecuador,2010,28/11/2010,f,22,133388
Ecuador,2010,28/11/2010,f,23,129740
Ecuador,2010,28/11/2010,f,24,126878
Ecuador,2010,28/11/2010,f,25,128636
Ecuador,2010,28/11/2010,f,26,122015
Ecuador,2010,28/11/2010,f,27,120435
Ecuador,2010,28/11/2010,f,28,122809
Ecuador,2010,28/11/2010,f,29,119719
Ecuador,2010,28/11/2010,f,30,120990
Ecuador,2010,28/11/2010,f,31,110754
Ecuador,2010,28/11/2010,f,32,108115
Ecuador,2010,28/11/2010,f,33,105497
Ecuador,2010,28/11/2010,f,34,101042
Ecuador,2010,28/11/2010,f,35,98639
Ecuador,2010,28/11/2010,f,36,98540
Ecuador,2010,28/11/2010,f,37,95150
Ecuador,2010,28/11/2010,f,38,97430
Ecuador,2010,28/11/2010,f,39,92765
Ecuador,2010,28/11/2010,f,40,93331
Ecuador,2010,28/11/2010,f,41,81765
Ecuador,2010,28/11/2010,f,42,85111
Ecuador,2010,28/11/2010,f,43,79831
Ecuador,2010,28/11/2010,f,44,79734
Ecuador,2010,28/11/2010,f,45,81826
Ecuador,2010,28/11/2010,f,46,78412
Ecuador,2010,28/11/2010,f,47,77683
Ecuador,2010,28/11/2010,f,48,76111
Ecuador,2010,28/11/2010,f,49,69661
Ecuador,2010,28/11/2010,f,50,72137
Ecuador,2010,28/11/2010,f,51,61640
Ecuador,2010,28/11/2010,f,52,59689
Ecuador,2010,28/11/2010,f,53,59881
Ecuador,2010,28/11/2010,f,54,58057
Ecuador,2010,28/11/2010,f,55,58947
Ecuador,2010,28/11/2010,f,56,55943
Ecuador,2010,28/11/2010,f,57,52007
Ecuador,2010,28/11/2010,f,58,49660
Ecuador,2010,28/11/2010,f,59,46230
Ecuador,2010,28/11/2010,f,60,48650
Ecuador,2010,28/11/2010,f,61,39351
Ecuador,2010,28/11/2010,f,62,39372
Ecuador,2010,28/11/2010,f,63,39381
Ecuador,2010,28/11/2010,f,64,37591
Ecuador,2010,28/11/2010,f,65,39761
Ecuador,2010,28/11/2010,f,66,34606
Ecuador,2010,28/11/2010,f,67,31980
Ecuador,2010,28/11/2010,f,68,31935
Ecuador,2010,28/11/2010,f,69,28731
Ecuador,2010,28/11/2010,f,70,34860
Ecuador,2010,28/11/2010,f,71,21711
Ecuador,2010,28/11/2010,f,72,23809
Ecuador,2010,28/11/2010,f,73,21992
Ecuador,2010,28/11/2010,f,74,21516
Ecuador,2010,28/11/2010,f,75,22394
Ecuador,2010,28/11/2010,f,76,17660
Ecuador,2010,28/11/2010,f,77,16685
Ecuador,2010,28/11/2010,f,78,16238
Ecuador,2010,28/11/2010,f,79,13639
Ecuador,2010,28/11/2010,f,80,18327
Ecuador,2010,28/11/2010,f,81,11821
Ecuador,2010,28/11/2010,f,82,12310
Ecuador,2010,28/11/2010,f,83,9958
Ecuador,2010,28/11/2010,f,84,9979
Ecuador,2010,28/11/2010,f,85,9823
Ecuador,2010,28/11/2010,f,86,7587
Ecuador,2010,28/11/2010,f,87,6289
Ecuador,2010,28/11/2010,f,88,5853
Ecuador,2010,28/11/2010,f,89,4449
Ecuador,2010,28/11/2010,f,90,5163
Ecuador,2010,28/11/2010,f,91,2687
Ecuador,2010,28/11/2010,f,92,2773
Ecuador,2010,28/11/2010,f,93,2372
Ecuador,2010,28/11/2010,f,94,1982
Ecuador,2010,28/11/2010,f,95,1647
Ecuador,2010,28/11/2010,f,96,1265
Ecuador,2010,28/11/2010,f,97,855
Ecuador,2010,28/11/2010,f,98,687
Ecuador,2010,28/11/2010,f,99,452
Ecuador,2010,28/11/2010,f,100,462
Ecuador,2010,28/11/2010,f,101,220
Ecuador,2010,28/11/2010,f,102,153
Ecuador,2010,28/11/2010,f,103,95
Ecuador,2010,28/11/2010,f,104,79
Ecuador,2010,28/11/2010,f,105,69
Ecuador,2010,28/11/2010,f,106,35
Ecuador,2010,28/11/2010,f,107,30
Ecuador,2010,28/11/2010,f,108,19
Ecuador,2010,28/11/2010,f,109,12
Ecuador,2010,28/11/2010,f,110,32
Ecuador,2010,28/11/2010,f,111,22
Ecuador,2010,28/11/2010,f,112,2
Ecuador,2010,28/11/2010,f,113,5
Ecuador,2010,28/11/2010,f,114,3
Ecuador,2010,28/11/2010,f,115,4
Ecuador,2010,28/11/2010,f,116,2
Ecuador,2010,28/11/2010,f,117,2
Ecuador,2010,28/11/2010,f,118,4
Ecuador,2010,28/11/2010,f,119,1
Ecuador,2010,28/11/2010,f,120,4
Ecuador,2022,30/11/2022,m,0,123115
Ecuador,2022,30/11/2022,m,1,121869
Ecuador,2022,30/11/2022,m,2,131116
Ecuador,2022,30/11/2022,m,3,139340
Ecuador,2022,30/11/2022,m,4,144409
Ecuador,2022,30/11/2022,m,5,143834
Ecuador,2022,30/11/2022,m,6,139169
Ecuador,2022,30/11/2022,m,7,141066
Ecuador,2022,30/11/2022,m,8,146437
Ecuador,2022,30/11/2022,m,9,151071
Ecuador,2022,30/11/2022,m,10,162779
Ecuador,2022,30/11/2022,m,11,164176
Ecuador,2022,30/11/2022,m,12,166598
Ecuador,2022,30/11/2022,m,13,163601
Ecuador,2022,30/11/2022,m,14,166008
Ecuador,2022,30/11/2022,m,15,163158
Ecuador,2022,30/11/2022,m,16,159317
Ecuador,2022,30/11/2022,m,17,153425
Ecuador,2022,30/11/2022,m,18,152647
Ecuador,2022,30/11/2022,m,19,147604
Ecuador,2022,30/11/2022,m,20,156134
Ecuador,2022,30/11/2022,m,21,145600
Ecuador,2022,30/11/2022,m,22,154492
Ecuador,2022,30/11/2022,m,23,147380
Ecuador,2022,30/11/2022,m,24,130322
Ecuador,2022,30/11/2022,m,25,134451
Ecuador,2022,30/11/2022,m,26,129336
Ecuador,2022,30/11/2022,m,27,127319
Ecuador,2022,30/11/2022,m,28,127557
Ecuador,2022,30/11/2022,m,29,124288
Ecuador,2022,30/11/2022,m,30,128936
Ecuador,2022,30/11/2022,m,31,112887
Ecuador,2022,30/11/2022,m,32,117974
Ecuador,2022,30/11/2022,m,33,115120
Ecuador,2022,30/11/2022,m,34,114113
Ecuador,2022,30/11/2022,m,35,117386
Ecuador,2022,30/11/2022,m,36,110734
Ecuador,2022,30/11/2022,m,37,110116
Ecuador,2022,30/11/2022,m,38,110872
Ecuador,2022,30/11/2022,m,39,104461
Ecuador,2022,30/11/2022,m,40,117321
Ecuador,2022,30/11/2022,m,41,103189
Ecuador,2022,30/11/2022,m,42,109525
Ecuador,2022,30/11/2022,m,43,101377
Ecuador,2022,30/11/2022,m,44,94728
Ecuador,2022,30/11/2022,m,45,101845
Ecuador,2022,30/11/2022,m,46,91231
Ecuador,2022,30/11/2022,m,47,86837
Ecuador,2022,30/11/2022,m,48,88559
Ecuador,2022,30/11/2022,m,49,83262
Ecuador,2022,30/11/2022,m,50,92158
Ecuador,2022,30/11/2022,m,51,79273
Ecuador,2022,30/11/2022,m,52,84160
Ecuador,2022,30/11/2022,m,53,76886
Ecuador,2022,30/11/2022,m,54,76481
Ecuador,2022,30/11/2022,m,55,74961
Ecuador,2022,30/11/2022,m,56,73749
Ecuador,2022,30/11/2022,m,57,70743
Ecuador,2022,30/11/2022,m,58,71054
Ecuador,2022,30/11/2022,m,59,67283
Ecuador,2022,30/11/2022,m,60,70582
Ecuador,2022,30/11/2022,m,61,58596
Ecuador,2022,30/11/2022,m,62,62665
Ecuador,2022,30/11/2022,m,63,57334
Ecuador,2022,30/11/2022,m,64,53053
Ecuador,2022,30/11/2022,m,65,58076
Ecuador,2022,30/11/2022,m,66,50052
Ecuador,2022,30/11/2022,m,67,49819
Ecuador,2022,30/11/2022,m,68,46111
Ecuador,2022,30/11/2022,m,69,41773
Ecuador,2022,30/11/2022,m,70,42258
Ecuador,2022,30/11/2022,m,71,36847
Ecuador,2022,30/11/2022,m,72,37622
Ecuador,2022,30/11/2022,m,73,33316
Ecuador,2022,30/11/2022,m,74,30615
Ecuador,2022,30/11/2022,m,75,30949
Ecuador,2022,30/11/2022,m,76,27229
Ecuador,2022,30/11/2022,m,77,24877
Ecuador,2022,30/11/2022,m,78,23712
Ecuador,2022,30/11/2022,m,79,20071
Ecuador,2022,30/11/2022,m,80,20075
Ecuador,2022,30/11/2022,m,81,16538
Ecuador,2022,30/11/2022,m,82,16559
Ecuador,2022,30/11/2022,m,83,14293
Ecuador,2022,30/11/2022,m,84,13022
Ecuador,2022,30/11/2022,m,85,11776
Ecuador,2022,30/11/2022,m,86,10342
Ecuador,2022,30/11/2022,m,87,8985
Ecuador,2022,30/11/2022,m,88,7420
Ecuador,2022,30/11/2022,m,89,6407
Ecuador,2022,30/11/2022,m,90,5808
Ecuador,2022,30/11/2022,m,91,4422
Ecuador,2022,30/11/2022,m,92,4124
Ecuador,2022,30/11/2022,m,93,3236
Ecuador,2022,30/11/2022,m,94,2533
Ecuador,2022,30/11/2022,m,95,1789
Ecuador,2022,30/11/2022,m,96,1411
Ecuador,2022,30/11/2022,m,97,1026
Ecuador,2022,30/11/2022,m,98,853
Ecuador,2022,30/11/2022,m,99,629
Ecuador,2022,30/11/2022,m,100,879
Ecuador,2022,30/11/2022,f,0,118635
Ecuador,2022,30/11/2022,f,1,116379
Ecuador,2022,30/11/2022,f,2,126040
Ecuador,2022,30/11/2022,f,3,133807
Ecuador,2022,30/11/2022,f,4,138615
Ecuador,2022,30/11/2022,f,5,137033
Ecuador,2022,30/11/2022,f,6,134056
Ecuador,2022,30/11/2022,f,7,134832
Ecuador,2022,30/11/2022,f,8,139019
Ecuador,2022,30/11/2022,f,9,145570
Ecuador,2022,30/11/2022,f,10,155122
Ecuador,2022,30/11/2022,f,11,157458
Ecuador,2022,30/11/2022,f,12,158354
Ecuador,2022,30/11/2022,f,13,154925
Ecuador,2022,30/11/2022,f,14,158556
Ecuador,2022,30/11/2022,f,15,156429
Ecuador,2022,30/11/2022,f,16,153917
Ecuador,2022,30/11/2022,f,17,148882
Ecuador,2022,30/11/2022,f,18,149833
Ecuador,2022,30/11/2022,f,19,148612
Ecuador,2022,30/11/2022,f,20,159124
Ecuador,2022,30/11/2022,f,21,151763
Ecuador,2022,30/11/2022,f,22,159072
Ecuador,2022,30/11/2022,f,23,153845
Ecuador,2022,30/11/2022,f,24,138180
Ecuador,2022,30/11/2022,f,25,145950
Ecuador,2022,30/11/2022,f,26,140745
Ecuador,2022,30/11/2022,f,27,139329
Ecuador,2022,30/11/2022,f,28,139349
Ecuador,2022,30/11/2022,f,29,138844
Ecuador,2022,30/11/2022,f,30,141403
Ecuador,2022,30/11/2022,f,31,126603
Ecuador,2022,30/11/2022,f,32,130358
Ecuador,2022,30/11/2022,f,33,128233
Ecuador,2022,30/11/2022,f,34,127436
Ecuador,2022,30/11/2022,f,35,130316
Ecuador,2022,30/11/2022,f,36,125347
Ecuador,2022,30/11/2022,f,37,123888
Ecuador,2022,30/11/2022,f,38,123767
Ecuador,2022,30/11/2022,f,39,117035
Ecuador,2022,30/11/2022,f,40,127385
Ecuador,2022,30/11/2022,f,41,116162
Ecuador,2022,30/11/2022,f,42,120780
Ecuador,2022,30/11/2022,f,43,114965
Ecuador,2022,30/11/2022,f,44,106997
Ecuador,2022,30/11/2022,f,45,110044
Ecuador,2022,30/11/2022,f,46,101829
Ecuador,2022,30/11/2022,f,47,96600
Ecuador,2022,30/11/2022,f,48,98668
Ecuador,2022,30/11/2022,f,49,92661
Ecuador,2022,30/11/2022,f,50,100381
Ecuador,2022,30/11/2022,f,51,89014
Ecuador,2022,30/11/2022,f,52,91891
Ecuador,2022,30/11/2022,f,53,85029
Ecuador,2022,30/11/2022,f,54,85317
Ecuador,2022,30/11/2022,f,55,82089
Ecuador,2022,30/11/2022,f,56,81038
Ecuador,2022,30/11/2022,f,57,78793
Ecuador,2022,30/11/2022,f,58,77828
Ecuador,2022,30/11/2022,f,59,74508
Ecuador,2022,30/11/2022,f,60,76598
Ecuador,2022,30/11/2022,f,61,65654
Ecuador,2022,30/11/2022,f,62,68653
Ecuador,2022,30/11/2022,f,63,63510
Ecuador,2022,30/11/2022,f,64,58272
Ecuador,2022,30/11/2022,f,65,62533
Ecuador,2022,30/11/2022,f,66,55919
Ecuador,2022,30/11/2022,f,67,54335
Ecuador,2022,30/11/2022,f,68,51263
Ecuador,2022,30/11/2022,f,69,46889
Ecuador,2022,30/11/2022,f,70,46641
Ecuador,2022,30/11/2022,f,71,40384
Ecuador,2022,30/11/2022,f,72,41854
Ecuador,2022,30/11/2022,f,73,36616
Ecuador,2022,30/11/2022,f,74,34376
Ecuador,2022,30/11/2022,f,75,34827
Ecuador,2022,30/11/2022,f,76,30842
Ecuador,2022,30/11/2022,f,77,28400
Ecuador,2022,30/11/2022,f,78,27369
Ecuador,2022,30/11/2022,f,79,23544
Ecuador,2022,30/11/2022,f,80,24266
Ecuador,2022,30/11/2022,f,81,19328
Ecuador,2022,30/11/2022,f,82,20283
Ecuador,2022,30/11/2022,f,83,17448
Ecuador,2022,30/11/2022,f,84,16261
Ecuador,2022,30/11/2022,f,85,14925
Ecuador,2022,30/11/2022,f,86,13759
Ecuador,2022,30/11/2022,f,87,12185
Ecuador,2022,30/11/2022,f,88,10247
Ecuador,2022,30/11/2022,f,89,9315
Ecuador,2022,30/11/2022,f,90,8512
Ecuador,2022,30/11/2022,f,91,6334
Ecuador,2022,30/11/2022,f,92,6381
Ecuador,2022,30/11/2022,f,93,4839
Ecuador,2022,30/11/2022,f,94,4067
Ecuador,2022,30/11/2022,f,95,2730
Ecuador,2022,30/11/2022,f,96,2343
Ecuador,2022,30/11/2022,f,97,1859
Ecuador,2022,30/11/2022,f,98,1433
Ecuador,2022,30/11/2022,f,99,970
Ecuador,2022,30/11/2022,f,100,1859
