"","year","type","date_ref","sex","age","deaths"
"102",1975,"x5",1975.5,"m",5,937.200021025336
"103",1975,"x5",1975.5,"m",10,554.029785892
"104",1975,"x5",1975.5,"m",15,666.251147632898
"105",1975,"x5",1975.5,"m",20,876.539825489715
"106",1975,"x5",1975.5,"m",25,738.032379016715
"107",1975,"x5",1975.5,"m",30,640.976066159722
"108",1975,"x5",1975.5,"m",35,780.494515891649
"109",1975,"x5",1975.5,"m",40,770.384483302379
"110",1975,"x5",1975.5,"m",45,757.241440936328
"111",1975,"x5",1975.5,"m",50,935.178014507482
"112",1975,"x5",1975.5,"m",55,895.748887409328
"113",1975,"x5",1975.5,"m",60,1202.08287486421
"114",1975,"x5",1975.5,"m",65,1143.44468584645
"115",1975,"x5",1975.5,"m",70,1481.11977432807
"116",1975,"x5",1975.5,"m",79,1277.90811928374
"117",1975,"x5",1975.5,"m",80,1132.32364999825
"118",1975,"x5",1975.5,"m",85,1782.39874548831
"119",1976,"x5",1976.5,"f",0,7651.54996525365
"120",1976,"x5",1976.5,"f",1,6151.91883252259
"121",1976,"x5",1976.5,"f",5,1067.70507296734
"122",1976,"x5",1976.5,"f",10,502.568172341904
"123",1976,"x5",1976.5,"f",15,543.944266851981
"124",1976,"x5",1976.5,"f",20,615.595552466991
"125",1976,"x5",1976.5,"f",25,566.146073662266
"126",1976,"x5",1976.5,"f",30,510.641556636553
"127",1976,"x5",1976.5,"f",35,606.512995135511
"128",1976,"x5",1976.5,"f",40,608.531341209173
"129",1976,"x5",1976.5,"f",45,645.870743571925
"130",1976,"x5",1976.5,"f",50,622.659763724809
"131",1976,"x5",1976.5,"f",55,620.641417651147
"132",1976,"x5",1976.5,"f",60,952.659346768589
"133",1976,"x5",1976.5,"f",65,940.549270326616
"134",1976,"x5",1976.5,"f",70,1272.56719944406
"135",1976,"x5",1976.5,"f",75,1.00917303683113
"136",1976,"x5",1976.5,"f",79,1203.94343293954
"137",1976,"x5",1976.5,"f",80,1319.99833217512
"138",1976,"x5",1976.5,"f",85,2635.95997220292
"139",1976,"x5",1976.5,"f",90,2.01834607366227
"140",1976,"x5",1976.5,"f",100,1.00917303683113
"141",1976,"x5",1976.5,"m",0,8891.48954321184
"142",1976,"x5",1976.5,"m",1,6036.2482890339
"143",1976,"x5",1976.5,"m",5,1125.55607194016
"144",1976,"x5",1976.5,"m",10,616.231863759351
"145",1976,"x5",1976.5,"m",15,756.422091357632
"146",1976,"x5",1976.5,"m",20,806.850230781474
"147",1976,"x5",1976.5,"m",25,721.122393760942
"148",1976,"x5",1976.5,"m",30,623.291803278689
"149",1976,"x5",1976.5,"m",35,699.942575202929
"150",1976,"x5",1976.5,"m",40,784.661849434983
"151",1976,"x5",1976.5,"m",45,849.209867897501
"152",1976,"x5",1976.5,"m",50,852.235556262932
"153",1976,"x5",1976.5,"m",55,989.400095495782
"154",1976,"x5",1976.5,"m",60,1191.11265319115
"155",1976,"x5",1976.5,"m",65,1223.38666242241
"156",1976,"x5",1976.5,"m",70,1406.94508992519
"157",1976,"x5",1976.5,"m",75,2.01712557695368
"158",1976,"x5",1976.5,"m",79,1311.13162501989
"159",1976,"x5",1976.5,"m",80,1099.33343943976
"160",1976,"x5",1976.5,"m",85,1696.40261021805
"161",1976,"x5",1976.5,"m",90,1.00856278847684
"162",1977,"x5",1977.5,"f",0,7342.63986575744
"163",1977,"x5",1977.5,"f",1,5720.80402727695
"164",1977,"x5",1977.5,"f",5,955.148345174765
"165",1977,"x5",1977.5,"f",10,462.949409118498
"166",1977,"x5",1977.5,"f",15,559.775429326288
"167",1977,"x5",1977.5,"f",20,609.197043807348
"168",1977,"x5",1977.5,"f",25,568.852868720768
"169",1977,"x5",1977.5,"f",30,515.396836731051
"170",1977,"x5",1977.5,"f",35,598.102395658538
"171",1977,"x5",1977.5,"f",40,633.403548859295
"172",1977,"x5",1977.5,"f",45,624.326109464815
"173",1977,"x5",1977.5,"f",50,631.386340104966
"174",1977,"x5",1977.5,"f",55,668.704702060052
"175",1977,"x5",1977.5,"f",60,928.924631368489
"176",1977,"x5",1977.5,"f",65,984.397872112535
"177",1977,"x5",1977.5,"f",70,1259.74686707844
"178",1977,"x5",1977.5,"f",75,2.01720875432897
"179",1977,"x5",1977.5,"f",79,1200.23920882573
"180",1977,"x5",1977.5,"f",80,1343.46103038309
"181",1977,"x5",1977.5,"f",85,2639.51765503945
"182",1977,"x5",1977.5,"f",90,1.00860437716448
"183",1977,"x5",1977.5,"m",0,8646.691015625
"184",1977,"x5",1977.5,"m",1,5362.6015625
"185",1977,"x5",1977.5,"m",5,988.8556640625
"186",1977,"x5",1977.5,"m",10,630.0048828125
"187",1977,"x5",1977.5,"m",15,715.685546875
"188",1977,"x5",1977.5,"m",20,840.678515625
"189",1977,"x5",1977.5,"m",25,796.326171875
"190",1977,"x5",1977.5,"m",30,732.8216796875
"191",1977,"x5",1977.5,"m",35,741.89375
"192",1977,"x5",1977.5,"m",40,784.230078125
"193",1977,"x5",1977.5,"m",45,826.56640625
"194",1977,"x5",1977.5,"m",50,922.3271484375
"195",1977,"x5",1977.5,"m",55,943.4953125
"196",1977,"x5",1977.5,"m",60,1153.1609375
"197",1977,"x5",1977.5,"m",65,1203.561328125
"198",1977,"x5",1977.5,"m",70,1458.5873046875
"199",1977,"x5",1977.5,"m",75,2.016015625
"200",1977,"x5",1977.5,"m",79,1370.890625
"201",1977,"x5",1977.5,"m",80,1103.7685546875
