"LocID","Time","Sex","AgeGrpStart","lx","qx","ex","ax","Sx"
218,2022,"Female",74,74828.868,0.02235729,12.8906,0.5,0.97840553
218,2022,"Female",75,73155.898,0.02412467,12.174,0.5,0.97676901
218,2022,"Female",76,71391.036,0.02641606,11.4626,0.5,0.97474362
218,2022,"Female",77,69505.166,0.02949988,10.76,0.5,0.97206267
218,2022,"Female",78,67454.772,0.03401759,10.0719,0.5,0.96827508
218,2022,"Female",79,65160.123,0.04031892,9.409,0.5,0.96288626
218,2022,"Female",80,62532.938,0.04817671,8.7833,0.5,0.95583302
218,2022,"Female",81,59520.306,0.05714125,8.2025,0.5,0.94745166
218,2022,"Female",82,56119.242,0.06645386,7.6693,0.5,0.93833939
218,2022,"Female",83,52389.902,0.0755289,7.1797,0.5,0.92916457
218,2022,"Female",84,48432.95,0.08412703,6.7254,0.5,0.92034076
218,2022,"Female",85,44358.43,0.09234303,6.2972,0.5,0.91194535
218,2022,"Female",86,40262.238,0.10071717,5.887,0.5,0.90367258
218,2022,"Female",87,36207.139,0.10986949,5.4904,0.5,0.89494934
218,2022,"Female",88,32229.079,0.12059734,5.1063,0.5,0.88507838
218,2022,"Female",89,28342.338,0.13333989,4.738,0.5,0.87344021
218,2022,"Female",90,24563.174,0.14803149,4.3901,0.5,0.85983904
218,2022,"Female",91,20927.051,0.16443693,4.066,0.5,0.84442145
218,2022,"Female",92,17485.871,0.18208391,3.7677,0.5,0.82753002
218,2022,"Female",93,14301.975,0.20088569,3.4952,0.5,0.8094568
218,2022,"Female",94,11428.913,0.22064014,3.2482,0.5,0.79033996
218,2022,"Female",95,8907.236,0.23866142,3.0262,0.5,0.77146654
218,2022,"Female",96,6781.422,0.25925758,2.8181,0.5,0.75243589
218,2022,"Female",97,5023.287,0.28010821,2.6294,0.5,0.7318698
218,2022,"Female",98,3616.223,0.30114521,2.4579,0.5,0.71108637
218,2022,"Female",99,2527.215,0.32246214,2.3016,0.5,0.69008568
218,2022,"Female",100,1712.284,1,2.1591,2.159086,0.6355763
218,2022,"Male",0,100000,0.0111702,73.7397,0.126781,0.99024597
218,2022,"Male",1,98882.98,0.00073248,73.5712,0.5,0.99820417
218,2022,"Male",2,98810.551,0.00061181,72.6248,0.5,0.99932783
218,2022,"Male",3,98750.097,0.00051367,71.669,0.5,0.99943724
218,2022,"Male",4,98699.372,0.00043883,70.7055,0.5,0.99952374
218,2022,"Male",5,98656.06,0.00038324,69.7364,0.5,0.99958896
218,2022,"Male",6,98618.251,0.00034251,68.7629,0.5,0.99963712
218,2022,"Male",7,98584.473,0.00031248,67.7863,0.5,0.9996725
218,2022,"Male",8,98553.667,0.00029145,66.8073,0.5,0.99969803
218,2022,"Male",9,98524.944,0.00028124,65.8266,0.5,0.99971365
218,2022,"Male",10,98497.235,0.00028435,64.845,0.5,0.99971721
218,2022,"Male",11,98469.227,0.00030507,63.8633,0.5,0.99970529
218,2022,"Male",12,98439.187,0.00034937,62.8827,0.5,0.99967278
218,2022,"Male",13,98404.795,0.00042437,61.9045,0.5,0.99961314
218,2022,"Male",14,98363.035,0.00053674,60.9305,0.5,0.99951946
218,2022,"Male",15,98310.24,0.00069431,59.963,0.5,0.9993845
218,2022,"Male",16,98241.982,0.00089694,59.0043,0.5,0.99920441
218,2022,"Male",17,98153.865,0.00112999,58.0568,0.5,0.99898659
218,2022,"Male",18,98042.951,0.00137998,57.1219,0.5,0.99874508
218,2022,"Male",19,97907.654,0.00161822,56.2002,0.5,0.99850098
218,2022,"Male",20,97749.218,0.00181727,55.2905,0.5,0.99828233
218,2022,"Male",21,97571.581,0.00196565,54.3902,0.5,0.99810861
218,2022,"Male",22,97379.789,0.0020634,53.4964,0.5,0.99798552
218,2022,"Male",23,97178.856,0.00213045,52.6059,0.5,0.99790311
218,2022,"Male",24,96971.821,0.00218636,51.7172,0.5,0.99784162
218,2022,"Male",25,96759.806,0.002236,50.8294,0.5,0.99778885
218,2022,"Male",26,96543.451,0.0022787,49.9422,0.5,0.99774268
218,2022,"Male",27,96323.458,0.00231102,49.0551,0.5,0.99770516
218,2022,"Male",28,96100.853,0.00234102,48.1676,0.5,0.997674
218,2022,"Male",29,95875.878,0.00237298,47.2794,0.5,0.99764302
218,2022,"Male",30,95648.367,0.00240241,46.3907,0.5,0.99761232
218,2022,"Male",31,95418.58,0.00242663,45.5012,0.5,0.9975855
218,2022,"Male",32,95187.035,0.00244268,44.6107,0.5,0.99756535
218,2022,"Male",33,94954.523,0.00245582,43.7187,0.5,0.99755076
218,2022,"Male",34,94721.332,0.00247655,42.8251,0.5,0.99753383
218,2022,"Male",35,94486.75,0.00250921,41.9302,0.5,0.99750714
218,2022,"Male",36,94249.663,0.00255722,41.0344,0.5,0.99746682
218,2022,"Male",37,94008.646,0.00262332,40.1383,0.5,0.99740977
218,2022,"Male",38,93762.031,0.00271126,39.2426,0.5,0.99733277
218,2022,"Male",39,93507.818,0.002821,38.3479,0.5,0.99723394
218,2022,"Male",40,93244.033,0.00294862,37.455,0.5,0.99711528
218,2022,"Male",41,92969.091,0.00308941,36.5643,0.5,0.99698109
218,2022,"Male",42,92681.871,0.00323874,35.676,0.5,0.99683604
218,2022,"Male",43,92381.699,0.00339286,34.7903,0.5,0.99668432
218,2022,"Male",44,92068.261,0.00355264,33.9071,0.5,0.99652739
218,2022,"Male",45,91741.176,0.00372127,33.0262,0.5,0.9963632
218,2022,"Male",46,91399.782,0.003903,32.1477,0.5,0.99618804
218,2022,"Male",47,91043.049,0.00410377,31.2717,0.5,0.99599681
218,2022,"Male",48,90669.43,0.00434337,30.3985,0.5,0.99577668
218,2022,"Male",49,90275.619,0.00463417,29.5289,0.5,0.99551155
218,2022,"Male",50,89857.266,0.00497308,28.664,0.5,0.99519677
218,2022,"Male",51,89410.399,0.00535934,27.8048,0.5,0.99483428
218,2022,"Male",52,88931.219,0.00579249,26.9519,0.5,0.99442467
218,2022,"Male",53,88416.085,0.00627658,26.106,0.5,0.99396617
218,2022,"Male",54,87861.135,0.00682645,25.2678,0.5,0.99344935
218,2022,"Male",55,87261.355,0.00744898,24.438,0.5,0.99286335
218,2022,"Male",56,86611.348,0.00814684,23.6177,0.5,0.9922034
218,2022,"Male",57,85905.739,0.00891715,22.8075,0.5,0.99146958
