"","agegrp","women","child_born","child_dead","pi","di","ki","qx","ti","year","q1","q5"
"1",15,725594,79100,1757,0.109014131869889,0.022212389380531,0.949518804370756,0.0210910814068195,1.29349156731748,2021.6,0.0210910814068195,0.0243580355596832
"2",20,728503,389089,8282,0.534093888425991,0.0212856184574737,1.02239678475595,0.0217623478724631,2.58198833826605,2020.3,0.0203911012226364,0.0235522389232418
"3",25,671987,762811,16627,1.13515737655639,0.0217970113173512,1.00149147800212,0.021829521080243,4.35522530407442,2018.6,0.0197342916634114,0.022795976679823
"4",30,623044,1069998,25003,1.71737148580197,0.0233673333968849,1.01878376940587,0.023806259999042,6.41039731382996,2016.5,0.0206117477542878,0.023806259999042
"5",35,591298,1293875,34509,2.18819444679333,0.0266710462757222,1.0398984928464,0.0277351808247601,8.65945743142912,2014.3,0.0227228294780774,0.0262357631467885
"6",40,558825,1393444,43514,2.49352480651367,0.0312276632573681,1.02877540930651,0.0321262520492845,11.1473143299274,2011.8,0.0251226869042689,0.0289956288824194
"7",45,476056,1287071,49648,2.7036126001983,0.0385744065401209,1.02034356105694,0.039359147334805,14.0432299962842,2008.9,0.0284486734447491,0.0328170931010664
